Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
iJuels 999 Fine Silver BIS Hallmarked Rectangular 10gm Silver Coin/Bar. Gift Pack (10 Gram Silver Coin – 1 Piece),4.4,63,173,929,2500
RFID Protected Black Genuine Leather Trifold Wallet for Men 6 Card Slots | 1 Coin Pocket | 3 Hidden Compartment | 2 Currency Slots | Men's Wallet,4.1,69,932,499,1599
"KuKuber Industries Cotton Premium Collection Handkerchief|Easy Wash & Premium Cotton Fabric|Size 44 x 44 cm, Pack of 6 (White)",3.7,18,620,163,199
How God Grows a Woman of Faith: A Devotional,5,32,6,334,490
Analog Champagne Dial Men's Watch-NN77049YM01/NP77049YM01,4.2,12,3316,749,849
Bracelet for Men Western Style Stainless Steel Never Fading Black Bracelet for Men and Boys,3.7,89,691,267,2499
"Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size",4.2,56,4395,349,799
Men's Round Sunglasses,3.9,84,1484,399,2499
Men's Genuine Leather RFID Blocking Large Capacity Wallet | Bifold Wallet for Men (Brown),4.1,67,826,799,2400
Mens Sm 651 Industrial Shoe,4.2,24,6035,797,1049
3D Cartoon Analouge Multi-Function Watch for Kids Boys and Girls | Analogue Watch with 7 Color Glowing Disco Light| Watch for Boys & Girls with 3D Cute Cartoon|Best Birthday Return Gift,4.2,13,172,521,599
"Hi-Tech Performance Athletic Socks (Badminton, Running, Gym & Indoor Training), Pack of 3",4.3,50,4007,499,999
Stainless Steel Plain Silver Army Dog Tag Pendant Necklace by Yellow Chimes Silver Plated Pendant for Men (Silver) (YCSSCH-TAG1SMALL-SL),3.8,71,362,267,916
Men's Rodeo-2 Running Shoes,4,45,10513,714,1299
Analogue - Digital Men's Watch (Black Dial Black Colored Strap - 1155),4,67,2370,489,1499
Men Socks,4.2,67,4479,297,899
Summarizing: Grades 3-4 (Spotlight on Reading),4.7,12,41,432,493
